Model,Threshold,Accuracy,AUROC,AUPRC,Adv Recall,Benign Recall,FPR,FNR,TP,FP,TN,FN,dataset
Our Hybrid,-,0.958,-,-,0.9788,0.8667,0.1333,0.0212,1290,40,260,28,test
Sentinel v2,default (0.5000),0.7484,0.2108,0.8880,0.7931,0.0189,0.9811,0.2069,686,52,1,179,test
ProtectAI v2,default (0.5000),0.6721,0.3525,0.9105,0.7029,0.1698,0.8302,0.2971,608,44,9,257,test
Our Hybrid,-,0.6121,-,-,0.65,0.5714,0.4286,0.35,39,24,32,21,deepset
Sentinel v2,default (0.5000),0.8793,0.9613,0.9734,0.7833,0.9821,0.0179,0.2167,47,1,55,13,deepset
ProtectAI v2,default (0.5000),0.6724,0.9015,0.9290,0.3667,1.0,0.0000,0.6333,22,0,56,38,deepset
Our Hybrid,-,0.7613,-,-,0.466,0.8979,0.1021,0.534,302,143,1258,346,safeguard
Sentinel v2,default (0.5000),0.998,0.9996,0.9995,0.9969,0.9986,0.0014,0.0031,646,2,1399,2,safeguard
ProtectAI v2,default (0.5000),0.9488,0.9920,0.9879,0.841,0.9986,0.0014,0.159,545,2,1399,103,safeguard
