dataset,deberta_threshold,accuracy,fpr,fnr,adv_f1,benign_f1,route_deberta,route_llm,route_abstain
external_combined,0.7,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.6827133479212253,0.8751076658053402,0,1974,452
external_combined,0.75,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.6827133479212253,0.8751076658053402,0,1974,452
external_combined,0.8,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.6827133479212253,0.8751076658053402,0,1974,452
external_combined,0.85,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.6827133479212253,0.8751076658053402,0,1974,452
external_combined,0.9,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.6827133479212253,0.8751076658053402,0,1974,452
external_combined,0.93,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.6827133479212253,0.8751076658053402,0,1974,452
external_combined,0.95,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.6827133479212253,0.8751076658053402,0,1974,452
external_combined,0.97,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.6827133479212253,0.8751076658053402,0,1974,452
external_combined,0.99,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.6827133479212253,0.8751076658053402,0,1974,452
test,0.7,0.8782447466007417,0.06666666666666667,0.13429438543247343,0.9205324727712788,0.7397622192866579,795,27,49
test,0.75,0.8813349814585909,0.09,0.1251896813353566,0.9231385108086468,0.7398373983739838,768,32,71
test,0.8,0.892459826946848,0.1,0.10925644916540213,0.9310071371927042,0.7563025210084033,739,43,89
test,0.85,0.9122373300370828,0.11666666666666667,0.08118361153262518,0.9446177847113885,0.7886904761904762,690,61,120
test,0.9,0.9412855377008653,0.13,0.042488619119878605,0.9637266132111494,0.8460291734197732,630,83,158
test,0.93,0.957972805933251,0.13333333333333333,0.021244309559939303,0.974320241691843,0.8843537414965987,600,91,180
test,0.95,0.9567367119901112,0.14,0.021244309559939303,0.9735849056603774,0.8805460750853243,566,102,203
test,0.97,0.9573547589616811,0.14,0.0204855842185129,0.9739720860052811,0.8820512820512821,541,108,222
test,0.99,0.9505562422744128,0.18333333333333332,0.01896813353566009,0.9699924981245311,0.8596491228070176,473,137,261
